conv2.1.conv2b.0.bn.bias                                               (64,)
conv2.1.conv2b.0.bn.running_mean                                       (64,)
conv2.1.conv2b.0.bn.running_var                                        (64,)
conv2.1.conv2b.0.bn.num_batches_tracked                                ()
conv2.1.conv2b.1.conv1.weight                                          (64, 64, 1, 1)
conv2.1.conv2b.1.conv2.weight                                          (64, 1, 3, 3)
conv2.1.conv2b.1.bn.weight                                             (64,)
conv2.1.conv2b.1.bn.bias                                               (64,)
conv2.1.conv2b.1.bn.running_mean                                       (64,)
conv2.1.conv2b.1.bn.running_var                                        (64,)
conv2.1.conv2b.1.bn.num_batches_tracked                                ()
conv2.1.conv2c.0.conv1.weight                                          (64, 64, 1, 1)
conv2.1.conv2c.0.conv2.weight                                          (64, 1, 3, 3)
conv2.1.conv2c.0.bn.weight                                             (64,)
conv2.1.conv2c.0.bn.bias                                               (64,)
conv2.1.conv2c.0.bn.running_mean                                       (64,)
conv2.1.conv2c.0.bn.running_var                                        (64,)
conv2.1.conv2c.0.bn.num_batches_tracked                                ()
conv2.1.conv2c.1.conv1.weight                                          (64, 64, 1, 1)
conv2.1.conv2c.1.conv2.weight                                          (64, 1, 3, 3)
conv2.1.conv2c.1.bn.weight                                             (64,)
conv2.1.conv2c.1.bn.bias                                               (64,)
conv2.1.conv2c.1.bn.running_mean                                       (64,)
conv2.1.conv2c.1.bn.running_var                                        (64,)
conv2.1.conv2c.1.bn.num_batches_tracked                                ()
conv2.1.conv2c.2.conv1.weight                                          (64, 64, 1, 1)
conv2.1.conv2c.2.conv2.weight                                          (64, 1, 3, 3)
conv2.1.conv2c.2.bn.weight                                             (64,)
conv2.1.conv2c.2.bn.bias                                               (64,)
conv2.1.conv2c.2.bn.running_mean                                       (64,)
conv2.1.conv2c.2.bn.running_var                                        (64,)
conv2.1.conv2c.2.bn.num_batches_tracked                                ()
conv2.1.conv2d.0.conv1.weight                                          (64, 64, 1, 1)
conv2.1.conv2d.0.conv2.weight                                          (64, 1, 3, 3)
conv2.1.conv2d.0.bn.weight                                             (64,)
conv2.1.conv2d.0.bn.bias                                               (64,)
conv2.1.conv2d.0.bn.running_mean                                       (64,)
conv2.1.conv2d.0.bn.running_var                                        (64,)
conv2.1.conv2d.0.bn.num_batches_tracked                                ()
conv2.1.conv2d.1.conv1.weight                                          (64, 64, 1, 1)
conv2.1.conv2d.1.conv2.weight                                          (64, 1, 3, 3)
conv2.1.conv2d.1.bn.weight                                             (64,)
conv2.1.conv2d.1.bn.bias                                               (64,)
conv2.1.conv2d.1.bn.running_mean                                       (64,)
conv2.1.conv2d.1.bn.running_var                                        (64,)
conv2.1.conv2d.1.bn.num_batches_tracked                                ()
conv2.1.conv2d.2.conv1.weight                                          (64, 64, 1, 1)
conv2.1.conv2d.2.conv2.weight                                          (64, 1, 3, 3)
conv2.1.conv2d.2.bn.weight                                             (64,)
conv2.1.conv2d.2.bn.bias                                               (64,)
conv2.1.conv2d.2.bn.running_mean                                       (64,)
conv2.1.conv2d.2.bn.running_var                                        (64,)
conv2.1.conv2d.2.bn.num_batches_tracked                                ()
conv2.1.conv2d.3.conv1.weight                                          (64, 64, 1, 1)
conv2.1.conv2d.3.conv2.weight                                          (64, 1, 3, 3)
conv2.1.conv2d.3.bn.weight                                             (64,)
conv2.1.conv2d.3.bn.bias                                               (64,)
conv2.1.conv2d.3.bn.running_mean                                       (64,)
conv2.1.conv2d.3.bn.running_var                                        (64,)
